D	L	A
0,00000	0,00000	0,05000
0,04167	0,04545	0,00000
0,05263	0,08000	0,07143
0,04167	0,00000	0,00000
0,10000	0,00000	0,17391
0,06250	0,12500	0,12222
0,01389	0,00000	0,06667
0,00000	0,16667	0,02381
0,07692	0,00000	0,04167
0,00000	0,05882	0,04000
0,26316	0,09091	0,17647
0,00000	0,00000	0,05263
0,15385	0,04348	0,08333
0,05556	0,00000	0,19565
0,04545	0,00000	0,09524
0,01923	0,00000	0,06061
0,07143	0,00000	0,05000
0,00000	0,00000	0,10606
0,13333	0,00000	0,14286
0,05263	0,00000	0,14286
0,06250	0,04167	0,04545
0,02778	0,00000	0,06667
0,02174	0,08333	0,10000
0,00000	0,03125	0,12000
0,00000	0,00000	0,00000
0,12500	0,18519	0,08333
0,07143	0,04545	0,07143
	0,00000	0,08333
	0,04167	0,15789
	0,07143	0,00000
	0,00000	0,07143
	0,05263	
	0,00000	
	0,06250	
	0,02941	
	0,13889	
	0,00000	
	0,00000	
	0,06250	
	0,03846	
	0,00000	
	0,07407	
	0,08333	
	0,07692	
	0,00000	
	0,06250	
	0,11111	
	0,00000	
	0,12500	
	0,15000	
	0,05000	
	0,06250	
	0,14286	
	0,00000	
	0,05263	
	0,32258	
	0,11765	
